Namespace(cpu=False, exp_name='loop_0.5dt', Psi_lr=0.03, learn_F=False, learn_C=False, clip_len=10, n_grad_desc_iter=500, single_frame=False, psi_model_input_type='eigen', save_interval=1, base_model='fixed_corotated', optimizer='SGD', force_convex=False, compare_grads=False, use_loop=True)
[Taichi] mode=release
[Taichi] preparing sandbox at /tmp/taichi-5ryeecot
[Taichi] version 0.7.26, llvm 10.0.0, commit e37bdb5e, linux, python 3.9.7
[Taichi] Starting on arch=x64
init E = tensor([1047.3070], device='cuda:0'), nu = tensor([0.2293], device='cuda:0')
C_max=213.1904296875, F_max=1.3644907474517822
C_max=213.58984375, F_max=1.3672481775283813
C_max=212.6337890625, F_max=1.369511365890503
C_max=210.1376953125, F_max=1.3713136911392212
C_max=205.9384765625, F_max=1.3727039098739624
C_max=199.8984375, F_max=1.3737512826919556
C_max=191.9716796875, F_max=1.3744627237319946
C_max=182.3037109375, F_max=1.3747942447662354
C_max=185.7393798828125, F_max=1.3746715784072876
C_max=198.33868408203125, F_max=1.3740044832229614
C_max=207.14163208007812, F_max=1.3726955652236938
C_max=210.75799560546875, F_max=1.3706493377685547
C_max=208.82742309570312, F_max=1.3677810430526733
C_max=202.34201049804688, F_max=1.364030122756958
C_max=193.08282470703125, F_max=1.359425663948059
C_max=182.7813720703125, F_max=1.3539968729019165
C_max=172.6507568359375, F_max=1.3477635383605957
C_max=163.30859375, F_max=1.3407692909240723
C_max=154.900390625, F_max=1.3330868482589722
C_max=147.111328125, F_max=1.3248342275619507
C_max=139.395751953125, F_max=1.3161540031433105
C_max=138.291015625, F_max=1.3116202354431152
C_max=144.73046875, F_max=1.3193167448043823
C_max=151.41455078125, F_max=1.3261542320251465
C_max=158.3800048828125, F_max=1.3320903778076172
C_max=165.0262451171875, F_max=1.3371363878250122
C_max=176.977783203125, F_max=1.34135901927948
C_max=192.016357421875, F_max=1.3448684215545654
C_max=205.0386962890625, F_max=1.347802758216858
C_max=214.203125, F_max=1.350304126739502
C_max=218.6597137451172, F_max=1.3524922132492065
C_max=218.30157470703125, F_max=1.3544385433197021
C_max=213.5897216796875, F_max=1.356166124343872
C_max=205.373291015625, F_max=1.3576514720916748
C_max=211.4580078125, F_max=1.358850359916687
C_max=213.74090576171875, F_max=1.3597166538238525
