Namespace(cpu=False, exp_name='loop', Psi_lr=0.03, learn_F=False, learn_C=False, clip_len=10, n_grad_desc_iter=500, single_frame=False, psi_model_input_type='eigen', save_interval=1, base_model='fixed_corotated', optimizer='SGD', force_convex=False, compare_grads=False, use_loop=True)
[Taichi] mode=release
[Taichi] preparing sandbox at /tmp/taichi-ab8ymzk3
[Taichi] version 0.7.26, llvm 10.0.0, commit e37bdb5e, linux, python 3.9.7
[Taichi] Starting on arch=x64
init E = tensor([1047.3070], device='cuda:0'), nu = tensor([0.2293], device='cuda:0')
C_max=345.1427001953125, F_max=1.1998529434204102
C_max=320.4176025390625, F_max=1.1915833950042725
C_max=274.891845703125, F_max=1.1887876987457275
C_max=231.951171875, F_max=1.186775803565979
C_max=256.79296875, F_max=1.1889472007751465
C_max=279.380859375, F_max=1.1969321966171265
C_max=291.80859375, F_max=1.1985117197036743
C_max=288.560546875, F_max=1.1955296993255615
C_max=277.912109375, F_max=1.1904125213623047
C_max=261.64453125, F_max=1.185119390487671
C_max=247.806640625, F_max=1.1886078119277954
C_max=241.3349609375, F_max=1.1964720487594604
C_max=240.5146484375, F_max=1.2035188674926758
C_max=236.38671875, F_max=1.2088855504989624
C_max=231.16796875, F_max=1.212011456489563
C_max=239.97265625, F_max=1.2128995656967163
C_max=256.783203125, F_max=1.2120616436004639
C_max=276.404296875, F_max=1.210207223892212
C_max=295.8203125, F_max=1.2079285383224487
C_max=308.140625, F_max=1.2055491209030151
C_max=306.76953125, F_max=1.2032256126403809
C_max=288.78515625, F_max=1.201071858406067
C_max=258.5166015625, F_max=1.1990638971328735
C_max=254.796875, F_max=1.1973481178283691
C_max=261.46875, F_max=1.19580078125
C_max=253.890625, F_max=1.1941033601760864
C_max=232.5234375, F_max=1.191870927810669
C_max=205.06640625, F_max=1.1888806819915771
C_max=196.37890625, F_max=1.1853466033935547
C_max=192.392578125, F_max=1.1817562580108643
C_max=188.837890625, F_max=1.178511619567871
C_max=182.26171875, F_max=1.194259762763977
C_max=183.921875, F_max=1.2125006914138794
C_max=231.453125, F_max=1.2300667762756348
C_max=242.6328125, F_max=1.2471888065338135
C_max=208.609375, F_max=1.2638578414916992
C_max=194.3984375, F_max=1.2799155712127686
C_max=201.333984375, F_max=1.2955410480499268
C_max=215.537109375, F_max=1.3108426332473755
C_max=228.3828125, F_max=1.3251698017120361
C_max=239.154296875, F_max=1.3379125595092773
C_max=246.396484375, F_max=1.348831295967102
C_max=248.857421875, F_max=1.358147144317627
C_max=245.73046875, F_max=1.3663514852523804
C_max=236.9609375, F_max=1.3738538026809692
C_max=223.84375, F_max=1.3808646202087402
C_max=207.2783203125, F_max=1.3863508701324463
C_max=187.81640625, F_max=1.3887293338775635
C_max=200.5911865234375, F_max=1.3868170976638794
C_max=204.9329833984375, F_max=1.381140112876892
C_max=196.90838623046875, F_max=1.3721691370010376
C_max=183.00933837890625, F_max=1.3611301183700562
C_max=165.9859619140625, F_max=1.3482125997543335
C_max=155.4892578125, F_max=1.3470872640609741
C_max=177.742431640625, F_max=1.3595898151397705
C_max=210.24462890625, F_max=1.3697558641433716
C_max=252.897216796875, F_max=1.3778951168060303
C_max=292.1265869140625, F_max=1.383510708808899
C_max=298.09033203125, F_max=1.3850761651992798
C_max=268.883544921875, F_max=1.3812775611877441
C_max=259.57635498046875, F_max=1.3723645210266113
C_max=252.142333984375, F_max=1.3610841035842896
C_max=246.92355346679688, F_max=1.3512380123138428
C_max=238.156005859375, F_max=1.3459044694900513
C_max=240.906494140625, F_max=1.3775404691696167
C_max=315.936767578125, F_max=1.4086151123046875
C_max=385.505859375, F_max=1.427894115447998
C_max=419.9248046875, F_max=1.427336573600769
C_max=408.2998046875, F_max=1.4078071117401123
C_max=366.236328125, F_max=1.3771024942398071
C_max=329.8858947753906, F_max=1.357949137687683
C_max=340.9486083984375, F_max=1.3662242889404297
C_max=342.92578125, F_max=1.3729742765426636
C_max=335.19482421875, F_max=1.3758984804153442
C_max=357.17626953125, F_max=1.3738329410552979
C_max=358.7470703125, F_max=1.3666762113571167
C_max=329.328125, F_max=1.3550244569778442
C_max=295.7060546875, F_max=1.3402243852615356
C_max=281.1513671875, F_max=1.3244963884353638
iter [1/500]: lr=3e-02, loss=8.8457, E=1047.31, E_gt=1351.12; nu=0.2293, nu_gt=0.0840; C_dist=1845.64; F_dist=0.01
C_max=414.4765625, F_max=1.0708889961242676
C_max=402.599609375, F_max=1.0673010349273682
C_max=415.9111328125, F_max=1.0656728744506836
C_max=424.3037109375, F_max=1.078718662261963
C_max=428.5859375, F_max=1.0926705598831177
